id,smiles,notes,params_json
102455,B(O[C@@H]1C[C@@H](CC[C@H]1C(C)C)C)(O[C@@H]2C[C@@H](CC[C@H]2C(C)C)C)O[C@@H]3C[C@@H](CC[C@H]3C(C)C)C,,
102825,B(OC1CCCCC1)(OC2CCCCC2)OC3CCCCC3,,
106038,B(O)(O)OCCCNCCCO,,
107310,B1(OC(CC(O1)(C)C)C)C=C,,
110003,B(O)(O)OCCNCCO,,
110946,B1(OCCC(O1)C)OCCN(C)C,,
117526,B(C1=CC(=CC=C1)OC=O)(O)O,,
122296,B([C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CC2=CC=CC=C2)NC(=O)C)(O)O,,
125810,B(C1=CC(=C(C=C1)CC(C(=O)O)N)[18F])(O)O,,
127495,B1(OC(C(O1)(C)C)(C)C)C(C(C)CC)N,,
127677,B(CNC(=O)C1=CC=CC=C1)(O)O,,
133488,B(C1=CC(=C(C=C1)C(=O)NCCCCCCN)[N+](=O)[O-])(O)O,,
134660,B([O-])([O-])[O-].B([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2],,
139377,B(C)(O)O,,
139461,B1(OB(OB(O1)O)O)O,,
139471,B(C1=CC=CC=C1)(OC)OC,,
139620,[B](O)O,,
140773,B(OCC)(OCC)Cl,,
150315,B(C1=CC=C(C=C1)C[C@@H](C(=O)O)N)(O)O,,
150643,B(C1=CC(=CC=C1)NS(=O)(=O)C2=CC=CC3=C2C=CC=C3N(C)C)(O)O,,
151253,B(C1=CC=C(C=C1)C2=CC=CC=C2)(O)O,,
151254,B(C1=CC=C(C=C1)I)(O)O,,
155128,B(O)(O)O.C(CO)N(CCO)CCO.C(CO)N(CCO)CCO.C(CO)N(CCO)CCO,,
156265,B(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(O)O,,
157274,B(C1=CC(=CC=C1)NC(=O)C)(O)O,,
159268,B(O)(O)O.B(O)(O)O.B(O)(O)O.[Zn].[Zn],,
159383,B([O-])([O-])[O-].[Na+].[Na+].[Na+],,
160912,B(O)(O)O.C(CO)N(CCO)CCO,,
160998,B([O-])([O-])[O-].[Na+],,
161513,B(O)(O)O.CC(CN)O,,
161571,B([O-])([O-])[O-].[NH4+].[NH4+].[NH4+],,
162220,B(O)(O)O.C(CO)N,,
162628,B(OC(=O)C(CC)CCCC)(OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,,
163060,B(O)(O)O.C(CO)NCCO,,
163222,B(O)(O)O.[OH-].[OH-].[OH-].OP(=O)(O)O.[Al+3],,
163237,B(O)(O)O.C(CO)N.C(CO)N(CCO)CCO,,
163264,B(O)(O)O.C(CO)N.C(CO)N.C(CO)N,,
164824,B([O-])([O-])[O-].C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O.[Na+].[Na+].[Na+],,
166892,B([O-])([O-])[O-].[In+3],,
167155,B([O-])([O-])[O-].B([O-])([O-])[O-].[Zn+2].[Zn+2].[Zn+2],,
169877,B([O-])([O-])[O-].B([O-])([O-])[O-].[Sr+2].[Sr+2].[Sr+2],,
170177,B([O-])([O-])[O-].B([O-])([O-])[O-].[Cu+2].[Cu+2].[Cu+2],,
170203,B(O)(O)O.C(CO)O,,
170998,B([O-])([O-])[O-].B([O-])([O-])[O-].[Cd+2].[Cd+2].[Cd+2],,
171076,B(O)(O)O.C([C@@H](C(=O)O)N)O,,
171421,B(O)(O)O.C=CO,,
174393,B1(OCC(O1)CCCCCCCCCCCCCC)O,,
176234,B(O)(O)O.COCCO,,
177595,[B-](O)(O)(O)O,,
189159,B(O)(O)O.[NH4+].[NH4+].O.O.O[Cr](=O)(=O)O[Cr](=O)(=O)O.[O-]S(=O)(=O)[O-].[Na+].[Na+].[Cl-].[Cl-].[Zn+2],,
192163,B1(OC2=CC(=CC(=C2O1)O)C(=O)O)O,,
192216,B(C1=C(C=C(C=C1)C(=O)O)[N+](=O)[O-])(O)O,,
192653,B(C1=CC(=CC=C1)NC(=O)CC)(O)O,,
194128,B1(O[C@@H]([C@@H]2[C@H](O1)[C@@H]3[C@H](O2)OB(O3)CCCC)COC(=O)C)CCCC,,
195309,B(C(C)N)(O)O,,
197864,B1(OCC2(CO1)COB(OC2)C3=CC=C(C=C3)C)C4=CC=C(C=C4)C,,
199578,B(C1CCCCC1)(O)O,,
200495,B1(OCC(O1)COC2=CC=CC(=C2)C)C3=CC=CC=C3,,
200496,B1(OCC(O1)COC2=CC=C(C=C2)C)C3=CC=CC=C3,,
200497,B1(OCC(O1)COC2=CC(=CC=C2)Cl)C3=CC=CC=C3,,
200498,B1(OCC(O1)COC2=CC=C(C=C2)Cl)C3=CC=CC=C3,,
200567,B1(OB(OB(O1)C2=CC(=CC=C2)C(F)(F)F)C3=CC(=CC=C3)C(F)(F)F)C4=CC(=CC=C4)C(F)(F)F,,
200638,B1(OCC(O1)COC2=CC=CC=C2Cl)C3=CC=CC=C3,,
200639,B1(OCC(O1)COC2=CC=CC=C2OC)C3=CC=CC=C3,,
201262,B(C1=CC=C(C=C1)OC)(O)O,,
206655,B(C1=CC(=C(C=C1)B(O)O)[N+](=O)[O-])(O)O,,
208171,B(C1=CC(=CC=C1)NC(=O)CCC(=O)O)(O)O,,
211080,B1(OCCNCCO1)C2=CC(=CC=C2)[N+](=O)[O-],,
219443,B(OC(CC(C)C)CC(C)C)(OC(CC(C)C)CC(C)C)OC(CC(C)C)CC(C)C,,
225550,B12OC(CN(CC(O1)C)CC(O2)C)C,,
230477,B(C1=CC(=CC=C1)B(O)O)(O)O,,
230478,B(C1=CC=C(C=C1)B(O)O)(O)O,,
236543,B(C=C)(OCCCC)OCCCC,,
241147,B1(OCC(O1)C2C3C(COB(O3)C4=CC=CC=C4)OB(O2)C5=CC=CC=C5)C6=CC=CC=C6,,
254532,B(C1=CC=CC2=CC=CC=C12)(O)O,,
256205,B(C1=CNC(=O)NC1=O)(O)O,,
285645,B(C1=CC=C(C=C1)F)(O)O,,
286985,B1(OCCCO1)CCCC,,
288549,B1(OB(OB(O1)OC2CCCCC2)OC3CCCCC3)OC4CCCCC4,,
289194,B(C1=CC(=NN1)C(=O)OCC)(O)O,,
289737,B(OC(C)(C)C)(OC(C)(C)C)OC(C)(C)C,,
292184,B(C1=C(C=C(C=C1C)C)C)(O)O,,
292189,B(C1=CC=CC=C1C=O)(O)O,,
292409,B(OCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCC,,
292718,B1(OC(CC(O1)(C)C)C)OCCCC,,
312183,B(C1=CC=C(C=C1)C(=O)O)(O)O,,
328715,B1(OB(OB(O1)CCCC)CCCC)CCCC,,
329047,B(C1=CC(=C(C=C1)C(=O)O)[N+](=O)[O-])(O)O,,
336478,B1(OCCO1)C2=CC=C(C=C2)OC,,
346619,B(C1=CC=CC=C1C#CC2=CC=CC=C2B(O)O)(O)O,,
